,lmp_node,matched_source_sink,match_score
2056,DECO ELKTN ELKTNSTPS41,DECO.NEP12,56
2057,NIPS LAKEGEO 34N_EQ,NIPS.LAKES,62
2058,DECO BURNS TRF_2,DECO.BAUER.MVP,60
2059,EMBA ROXIE MOBIL4,EMBA.EMILD.RLA,65
2060,NIPS PRINCET2 PRINCETN,NIPS.PRATTIND,57
2061,WEC HARBOR01 HARBOR_L1,MEC.ARBORHL1,65
2062,EES MAGPOW AUX,EES.MAGPOWG,80
2063,NSP SHELDNP SHELDN1,NSP.SHERC1.SLR,67
2064,SOCO COLLI_SO LREC,CONS.POLRS.SOL,56
2065,WPS PREBLE BK-3,WPS.DEPERE,56
2066,NSP HENEPIN1 CXS_TR1,NSP.HENNIPIN1,67
2067,CONS MAYFR MAYFR_T3,CONS.HARDY,55
2068,EES AACCOR T2,EES.MORTN2.ARR,67
2069,CONS HARLK T1,CONS.KALK,73
2070,DECO COTTN TRF_1,DECO.TURTLE1,57
2071,LAGT GILB_L GILB,LAGN.BCI_2,54
2072,CIN DEER_CRK BK1_69,CIN.HENRYCO.1,56
2073,EES BRIARC T1,EES.SWTZ1.ARR,69
2074,MEC GLENWCPE CPE6T1,MEC.GENESEO,53
2075,CONS KILGX KILGX_T1,CONS.LUDINGTN1,61
2076,MEC LAWTON2 LAWTON1,MEC.ATLN,59
2077,CONS MCCRK MCCRK_T1,CONS.MCV.MCV,65
2078,LAGN LONG LONM,LAGN.LAGN,70
2079,CLEC PELICAN CRSRD_LD,CLEC.CLEC,60
2080,MP EMBARRAS EMB_1TR_LD,AMIL.MAROA.MVP,56
2081,NIPS THIRD_ST THIRD_ST,NIPS.WHITNST,59
2082,NSP AVON2 TR1,NSP.ANSON2,70
2083,WR MPUA POTOSI,WPS.OCONTO.MP,59
2084,MEC SUB704 TR2,MEC.WELLSBURG,52
2085,ALTE WRVRSIDE UN1_AUX,ALTE.CC.WRIVS1,57
2086,NIPS PLYMOUT2 NO_7_XFMR,NIPS.NORWAPNOR,54
2087,CONS CLYRD CLYRD_T1,CONS.CCG_1.AZ,56
2088,MEC ALTOONA TR1,AMMO.ALTONA,62
2089,DECO PLACID TRF_1,DECO.PLACDP12,73
2090,CONS MORGN MORGN_T1,CONS.RENAIGEN1,61
2091,ALTW NEWTON NEWTON1,EES.NEWTON1.AZ,67
2092,AMMO RUSL RUSL_78,AMMO.MRRIS.SLR,65
2093,ALTE SMONROE SME_T41,SME.BATESV_1,62
2094,AMMO BAIL BAIL_75,AMMO.CALF_1.AZ,65
2095,IPL 16IND_CK LD_F,CIN.NIPS.JRDCK,52
2096,AMMO SEL SEL_HOWE_CVLY,AMIL.SWE_IL,55
2097,EAI ORIENT T1,MEC.ORIENT1,75
2098,GRE OXLAKE GRE_TR1,GRE.ROCKLAKE,67
2099,ALTW PROM PROM1,ALTW.PRARC1,69
2100,DECO MCALY TRF_1,DECO.MCKINLEY1,67
2101,MGE ETOWNE T42,ALTE.TOWNECT_2,57
2102,SIGE 10WP_SIG TR1_HE,SIGE.10CULGN3,48
2103,NIPS IP_MOULD IP_MOULD,NIPS.HWND1.IPL,56
2104,EAI PBINDR T2,EAI.PBENRGY_CT,67
2105,NSP GLESNLK GLESNL1,GRE.NSP.GREC,58
2106,ALTE SUNVLLY SUNVLLY,ALTE.CASSVILLE,59
2107,BREC BEDA BEDA,GRE.REC.DATA,62
