,node,matched_source_sink,match_score,congestion deviation,congestion mean,congestion skew,congestion kurtosis,Sink score,Source score,cluster
2237,OTP MN_PIPE TR2,OTP.MPC.YNG2,59,13.780887983617632,0.35472820512820513,-0.9217837796863575,7.333226340528432,33.63329629216759,72.68031861008959,29
6995,CONS FRTPR FRTPR_T1,CONS.RVRFORK,58,14.85679878198307,2.3608307692307693,-1.2773963673665132,17.072178728447756,33.6056588052017,65.9652189859089,12
1645,CIN WESTLNDJ PSI_69166D,CIN.WVPA.PSI,51,12.809576709569066,3.8382564102564105,-2.1357947800740638,18.37186510258284,33.60053085743056,64.23438226710105,21
11147,CIN WESTLNDJ BK1_69,CIN.MARKLND.1,56,12.809576709569066,3.8382564102564105,-2.1357947800740638,18.37186510258284,33.60053085743056,64.23438226710105,21
9543,CIN PIKEJCT BK1_69,CIN.HENRYCO.1,52,12.798826421603508,3.112338461538462,-1.7695902387586728,16.95606335637208,33.547767896941096,65.54126269478455,11
13594,CIN 08THPFIZ A,CIN.CAYCT.4,48,16.502779567955844,1.104574358974359,1.5084627990144757,30.473802717751376,33.5336254497965,59.66822802761517,68
12576,AMMO RAIN2 RAIN,AMMO.HIPRAIRIE,69,14.651579496387287,2.148502564102564,-1.3291224832890423,15.770416267089047,33.50127052464042,66.85454147381117,1
14523,CIN 08PLFLDE LD1,DECO.LUD1,56,13.191275200553298,3.4248102564102565,-1.8640175273494808,18.58648439629614,33.47642172538053,64.44860866276066,62
7438,CIN 08PLAIN BK4,CIN.08NOBSN2,59,13.191275200553298,3.4248102564102565,-1.8640175273494808,18.58648439629614,33.47642172538053,64.44860866276066,62
13124,NIPS NRTHWEST NORTHWEST,NIPS.NORWAPNOR,59,15.859955951056149,1.036051282051282,0.28355717144082454,21.481847181860346,33.45812182624912,64.58505804682609,76
44,CIN 08WVAVON LD,CIN.08NOBSN2,59,12.753339435984646,3.6835179487179484,-2.1189354542377163,18.165475753832037,33.44238282883821,64.50530187242438,21
8707,CIN 08AVONEA LD2,CIN.08NOBSN2,57,12.753339435984646,3.6835179487179484,-2.1189354542377163,18.165475753832037,33.44238282883821,64.50530187242438,21
6454,CIN 08BRWNSB LD1,CIN.08NOBSN2,57,12.753339435984646,3.6835179487179484,-2.1189354542377163,18.165475753832037,33.44238282883821,64.50530187242438,21
4607,CIN 08AVONEA LD1,CIN.08NOBSN2,57,12.753339435984646,3.6835179487179484,-2.1189354542377163,18.165475753832037,33.44238282883821,64.50530187242438,21
7616,CIN QUALITEC TR1234,CIN.WHEATCTG2,56,12.753339435984646,3.6835179487179484,-2.1189354542377163,18.165475753832037,33.44238282883821,64.50530187242438,21
3908,AMMO ZION ZION-44,AMMO.LINN_1.AZ,58,14.615882111487801,2.1593128205128203,-1.3718422298454003,15.828065842462305,33.41786261580072,66.84053326456147,1
8433,AMMO FRGH FROG_HOLLOW_W,AMMO.FGRDCTG1,50,14.615699831415846,2.1591179487179484,-1.3719111984754158,15.828820633368949,33.417209379432165,66.84046285333278,1
187,CIN SPENSUB BK2_69,CIN.GIBSON.2,53,14.21713523731966,2.309805128205128,-0.4885733621956069,22.602148780055344,33.41367934915072,63.101723846648575,62
14048,CIN SPENSUB BK1_69,CIN.GIBSON.1,53,14.21713523731966,2.309805128205128,-0.4885733621956069,22.602148780055344,33.41367934915072,63.101723846648575,62
2907,NSP DASELGRE DASSLGRE,GRE.NSP.GREC,67,16.217259102147455,0.23349743589743585,-0.9837305261119061,8.499860722325412,33.406124302353454,72.15269335610816,66
8285,AMMO IDWD IDWD_69KV,AMMO.NEWMADRID,55,14.591587445080467,2.136030769230769,-1.3781319500979188,15.97330975096439,33.32837559940906,66.80589732508074,1
3020,NSP DASSEL DASSEL2,NSP.DANIELSN1,58,16.168578630392457,0.22956923076923072,-1.012081967675907,8.54906398936484,33.32705058299705,72.15304406243811,66
1487,NSP NWGERMNY NWGERM1,NSP.SHERC1.SLR,53,15.744588265221214,0.7689333333333334,-1.2888504140250365,9.513514244279024,33.313157967099244,71.2541109234244,66
9619,GRE ST_BONIG U1_AUX,GRE.STBON1,69,15.744588265221214,0.7689333333333334,-1.2888504140250365,9.513514244279024,33.313157967099244,71.2541109234244,66
2173,NSP HOLLYWD HOLLYW1,NSP.CODA.BYLL,56,15.744588265221214,0.7689333333333334,-1.2888504140250365,9.513514244279024,33.313157967099244,71.2541109234244,66
10145,AMMO ELDN XFMR_W,AMMO.MARC_1.AZ,60,14.496493859644609,1.988953846153846,-1.3626577465440086,15.303217127054474,33.29659860776543,67.28473890672174,1
11055,AMMO ELDN ELDN_71,AMMO.LINN_1.AZ,65,14.496493859644609,1.988953846153846,-1.3626577465440086,15.303217127054474,33.29659860776543,67.28473890672174,1
5535,AMMO ELDN ELDN_72,AMMO.HANN.LD,62,14.496493859644609,1.988953846153846,-1.3626577465440086,15.303217127054474,33.29659860776543,67.28473890672174,1
7549,NSP WINTHRPG GRE_TR1,NSP.BSTAR1.WND,59,18.30723519126054,-1.1235692307692309,-0.04690153141936516,8.91127329299338,33.29068987132152,72.91013314050116,66
165,CONS STARL STARL_T1,CONS.ISABELLA1,61,14.73487949340075,2.326923076923077,-1.3911204936038977,17.271576913841713,33.271827074717,65.98195088232623,12
10301,SIPC MURPHY2 LD1,AMIL.PSG2.SIPC,60,14.079428309339214,2.589425641025641,-1.5179958993154041,17.619316856946657,33.241459252307514,65.62676421719644,1
7266,AMMO CLBS CLBS_W,AMMO.BBS,67,14.559889151278234,2.101528205128205,-1.3835593325681361,16.173256987867205,33.20769842329853,66.75924491376824,1
6425,WPS STRATFOR V_STRATFORD1,WPS.FORWARD,56,16.06798989590478,-0.26347692307692305,0.653266077561077,17.841217050662703,33.1654990403151,67.57081543513831,34
5828,WPS STRATFOR V_STRATFORD2,WPS.FORWARD,56,16.06798989590478,-0.26347692307692305,0.653266077561077,17.841217050662703,33.1654990403151,67.57081543513831,34
3924,WPS STRATFOR STD_T1,WPS.FOX_ST1_1,50,16.06798989590478,-0.26347692307692305,0.653266077561077,17.841217050662703,33.1654990403151,67.57081543513831,34
9356,WPS STRATFOR STD_T2,WPS.FOX_ST1_2,50,16.06798989590478,-0.26347692307692305,0.653266077561077,17.841217050662703,33.1654990403151,67.57081543513831,34
4281,CIN HERTLAKE BK2_69,CIN.HENRYCO.2,56,13.174521679039794,3.222676923076923,-1.7398745639373807,19.622190623260522,33.12009542215627,64.14321584258795,62
6820,CIN HERTLAKE BK1_69,CIN.HENRYCO.1,56,13.174521679039794,3.222676923076923,-1.7398745639373807,19.622190623260522,33.12009542215627,64.14321584258795,62
12432,CIN 08AIRWST T_L8,CIN.GALGHR.ARR,52,13.061257061578804,3.4063897435897434,-2.0146204596889183,18.817861373634077,33.08824409195311,64.45269521377024,62
7305,CIN 08AIRWST T_L10,CIN.SIGW_1.AZ,52,13.061257061578804,3.4063897435897434,-2.0146204596889183,18.817861373634077,33.08824409195311,64.45269521377024,62
10291,CIN 08AIRWEJ LD1,EES.INLND1.ARR,60,13.061257061578804,3.4063897435897434,-2.0146204596889183,18.817861373634077,33.08824409195311,64.45269521377024,62
4894,CIN 08AIRWEJ LD2,EES.INLND2.ARR,60,13.061257061578804,3.4063897435897434,-2.0146204596889183,18.817861373634077,33.08824409195311,64.45269521377024,62
13835,NIPS BOWMAR BOWMAR,NIPS.BAILY.ARR,62,16.061647625556148,0.9510564102564102,0.9893595543621992,27.471683087609204,33.07069407244178,61.53671659020294,18
7912,NIPS DEER_RUN DEER_RUN,NIPS.ERC_TEST,51,16.061647625556148,0.9510564102564102,0.9893595543621992,27.471683087609204,33.07069407244178,61.53671659020294,18
7891,NIPS PRECOT_T ROLLCOAT,DECO.LOAD.CNE,51,16.061647625556148,0.9510564102564102,0.9893595543621992,27.471683087609204,33.07069407244178,61.53671659020294,18
13952,NIPS KINGCAST KINGCAST,CIN.NIPS.GBSNS,61,16.061647625556148,0.9510564102564102,0.9893595543621992,27.471683087609204,33.07069407244178,61.53671659020294,18
13377,CONS BLDWZ BLDWZ_T1,NSP.BELW_1.AZ,62,14.651134646401948,2.2940102564102562,-1.4727606884567634,17.385161372827806,33.027594757578186,66.01734553474179,12
1867,AMMO ELM ELM_D,AMMO.HANN.LD,62,14.51525895982841,2.0315487179487177,-1.3818527613513256,16.451998076523754,33.023242351715616,66.71489860611177,1
423,AMMO ELM ELM_W,AMMO.MERAMEC2,59,14.51525895982841,2.0315487179487177,-1.3818527613513256,16.451998076523754,33.023242351715616,66.71489860611177,1
